//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-7-2025
//--  Time: 18:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:8.7, 18.7
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
228	10.93	109 	1.113
229	10.94	109 	1.118
230	10.95	109 	1.123
231	10.96	110 	1.128
232	10.97	110 	1.133
233	10.98	110 	1.138
234	10.99	110 	1.143
235	10.99	110 	1.147
236	11.00	110 	1.152
237	11.01	110 	1.157
238	11.02	110 	1.162
239	11.03	110 	1.167
240	11.04	110 	1.172
241	11.05	111 	1.177
242	11.06	111 	1.182
243	11.07	111 	1.187
244	11.08	111 	1.191
245	11.09	111 	1.196
246	11.10	111 	1.201
247	11.11	111 	1.206
248	11.12	111 	1.211
249	11.13	111 	1.216
250	11.14	111 	1.221
251	11.15	112 	1.226
252	11.16	112 	1.230
253	11.17	112 	1.235
254	11.18	112 	1.240
255	11.19	112 	1.245
256	11.20	112 	1.250
257	11.21	112 	1.255
258	11.22	112 	1.260
259	11.23	112 	1.265
260	11.24	112 	1.270
261	11.25	112 	1.274
262	11.26	113 	1.279
263	11.27	113 	1.284
264	11.28	113 	1.289
265	11.29	113 	1.294
266	11.30	113 	1.299
267	11.31	113 	1.304
268	11.32	113 	1.309
269	11.33	113 	1.313
270	11.34	113 	1.318
271	11.35	113 	1.323
272	11.36	114 	1.328
273	11.37	114 	1.333
274	11.38	114 	1.338
275	11.39	114 	1.343
276	11.40	114 	1.348
277	11.41	114 	1.353
278	11.41	114 	1.357
279	11.42	114 	1.362
280	11.43	114 	1.367
281	11.44	114 	1.372
282	11.45	115 	1.377
283	11.46	115 	1.382
284	11.47	115 	1.387
285	11.48	115 	1.392
286	11.49	115 	1.396
287	11.50	115 	1.401
288	11.51	115 	1.406
289	11.52	115 	1.411
290	11.53	115 	1.416
291	11.54	115 	1.421
292	11.55	116 	1.426
293	11.56	116 	1.431
294	11.57	116 	1.436
295	11.58	116 	1.440
296	11.59	116 	1.445
297	11.60	116 	1.450
298	11.61	116 	1.455
299	11.62	116 	1.460
300	11.63	116 	1.465
301	11.64	116 	1.470
302	11.65	116 	1.475
303	11.66	117 	1.479
304	11.67	117 	1.484
305	11.68	117 	1.489
306	11.69	117 	1.494
307	11.70	117 	1.499
308	11.71	117 	1.504
309	11.72	117 	1.509
310	11.73	117 	1.514
311	11.74	117 	1.519
312	11.75	117 	1.523
313	11.76	118 	1.528
314	11.77	118 	1.533
315	11.78	118 	1.538
316	11.79	118 	1.543
317	11.80	118 	1.548
318	11.81	118 	1.553
319	11.82	118 	1.558
320	11.83	118 	1.563
321	11.83	118 	1.567
322	11.84	118 	1.572
323	11.85	119 	1.577
324	11.86	119 	1.582
325	11.87	119 	1.587
326	11.88	119 	1.592
327	11.89	119 	1.597
328	11.90	119 	1.602
329	11.91	119 	1.606
330	11.92	119 	1.611
331	11.93	119 	1.616
332	11.94	119 	1.621
333	11.95	120 	1.626
334	11.96	120 	1.631
335	11.97	120 	1.636
336	11.98	120 	1.641
337	11.99	120 	1.646
338	12.00	120 	1.650
339	12.01	120 	1.655
340	12.02	120 	1.660
341	12.03	120 	1.665
342	12.04	120 	1.670
343	12.05	120 	1.675
344	12.06	121 	1.680
345	12.07	121 	1.685
346	12.08	121 	1.689
347	12.09	121 	1.694
348	12.10	121 	1.699
349	12.11	121 	1.704
350	12.12	121 	1.709
351	12.13	121 	1.714
352	12.14	121 	1.719
353	12.15	121 	1.724
354	12.16	122 	1.729
355	12.17	122 	1.733
356	12.18	122 	1.738
357	12.19	122 	1.743
358	12.20	122 	1.748
359	12.21	122 	1.753
360	12.22	122 	1.758
361	12.23	122 	1.763
362	12.24	122 	1.768
363	12.24	122 	1.772
364	12.25	123 	1.777
365	12.26	123 	1.782
366	12.27	123 	1.787
367	12.28	123 	1.792
368	12.29	123 	1.797
369	12.30	123 	1.802
370	12.31	123 	1.807
371	12.32	123 	1.812
372	12.33	123 	1.816
373	12.34	123 	1.821
374	12.35	124 	1.826
375	12.36	124 	1.831
376	12.37	124 	1.836
377	12.38	124 	1.841
378	12.39	124 	1.846
379	12.40	124 	1.851
380	12.41	124 	1.855
381	12.42	124 	1.860
382	12.43	124 	1.865
383	12.44	124 	1.870
384	12.45	125 	1.875
385	12.46	125 	1.880
386	12.47	125 	1.885
387	12.48	125 	1.890
388	12.49	125 	1.895
389	12.50	125 	1.899
390	12.51	125 	1.904
391	12.52	125 	1.909
392	12.53	125 	1.914
393	12.54	125 	1.919
394	12.55	125 	1.924
395	12.56	126 	1.929
396	12.57	126 	1.934
397	12.58	126 	1.938
398	12.59	126 	1.943
399	12.60	126 	1.948
400	12.61	126 	1.953
401	12.62	126 	1.958
402	12.63	126 	1.963
403	12.64	126 	1.968
404	12.65	126 	1.973
405	12.66	127 	1.978
406	12.66	127 	1.982
407	12.67	127 	1.987
408	12.68	127 	1.992
409	12.69	127 	1.997
410	12.70	127 	2.002
411	12.71	127 	2.007
412	12.72	127 	2.012
413	12.73	127 	2.017
414	12.74	127 	2.021
415	12.75	128 	2.026
416	12.76	128 	2.031
417	12.77	128 	2.036
418	12.78	128 	2.041
419	12.79	128 	2.046
420	12.80	128 	2.051
421	12.81	128 	2.056
422	12.82	128 	2.061
423	12.83	128 	2.065
424	12.84	128 	2.070
425	12.85	129 	2.075
426	12.86	129 	2.080
427	12.87	129 	2.085
428	12.88	129 	2.090
429	12.89	129 	2.095
430	12.90	129 	2.100
431	12.91	129 	2.104
432	12.92	129 	2.109
433	12.93	129 	2.114
434	12.94	129 	2.119
435	12.95	129 	2.124
436	12.96	130 	2.129
437	12.97	130 	2.134
438	12.98	130 	2.139
439	12.99	130 	2.144
440	13.00	130 	2.148
441	13.01	130 	2.153
442	13.02	130 	2.158
443	13.03	130 	2.163
444	13.04	130 	2.168
445	13.05	130 	2.173
446	13.06	131 	2.178
447	13.07	131 	2.183
448	13.08	131 	2.188
449	13.08	131 	2.192
450	13.09	131 	2.197
451	13.10	131 	2.202
452	13.11	131 	2.207
453	13.12	131 	2.212
454	13.13	131 	2.217
455	13.14	131 	2.222
456	13.15	132 	2.227
457	13.16	132 	2.231
458	13.17	132 	2.236
459	13.18	132 	2.241
460	13.19	132 	2.246
461	13.20	132 	2.251
462	13.21	132 	2.256
463	13.22	132 	2.261
464	13.23	132 	2.266
465	13.24	132 	2.271
466	13.25	133 	2.275
467	13.26	133 	2.280
468	13.27	133 	2.285
469	13.28	133 	2.290
